,amount_of_loan,interest_rate,time_to_repay,simple_interest,cibil_score,past_debt_to_repay,profit_percentage_last_year,competition_scale,sustainability,startup,management_effectivity,Total_Revenue
0,3331276,13,3,1,760,1549433,1,4,1,0,0,10758375
1,6690555,9,2,1,713,1577994,21,4,1,0,1,9835290
2,5039662,12,4,1,761,4555691,34,7,1,1,0,11539840
3,6230007,13,3,0,637,2529141,11,3,0,0,0,7759170
4,1615383,13,2,1,791,1700947,32,8,0,0,0,6482400
5,2391333,9,9,1,862,4117333,37,9,0,0,0,10119260
6,9693710,6,3,0,546,3048285,4,9,1,0,0,11181410
7,8383231,8,2,0,552,2563045,46,2,0,1,0,12900560
8,7147780,11,8,0,682,1344211,34,7,0,1,1,6471450
9,1961234,10,5,0,467,4627886,19,4,0,0,1,8916585
10,2946069,12,6,0,773,1864095,10,8,1,1,0,6440790
11,7526234,13,1,1,775,4468366,34,5,1,0,1,5308560
12,3326900,9,2,0,886,426354,42,3,1,0,1,10292270
13,7045000,14,3,0,389,4193274,10,3,0,1,1,11552615
14,8630794,8,4,1,339,2137960,8,2,0,1,0,10873350
15,4393648,6,2,0,738,3028990,32,10,1,1,0,4840630
16,4346987,12,4,1,721,2787066,34,3,1,0,0,9047255
17,1022703,9,5,0,386,3308074,24,8,0,1,1,7629230
18,1296300,7,6,1,435,3505779,21,10,1,1,0,9524310
19,6065191,12,3,0,513,551984,49,4,0,1,1,8349375
20,3209126,11,2,0,502,3656157,43,2,1,1,1,7037200
21,6477062,6,6,0,723,738725,36,8,1,1,0,5256730
22,8874109,10,7,0,353,1001248,0,9,1,1,0,10700340
23,9749571,12,4,1,837,2548697,27,5,1,1,1,5848760
24,4119660,13,9,0,656,294482,26,2,1,1,1,6879520
25,4247972,9,7,1,621,2934365,20,5,1,0,0,8508880
26,8495119,6,4,1,350,2717317,47,3,1,1,1,10376220
27,5136247,14,7,0,312,4982000,33,6,1,0,0,11921630
28,2231650,9,1,1,488,2719142,25,10,0,0,0,9350205
29,7804118,8,1,0,490,1050021,4,8,0,0,0,7273355
30,1397471,7,6,0,509,4909188,39,3,1,0,1,8088765
31,4411103,11,5,0,344,1688696,8,8,1,0,0,8910380
32,2858755,9,8,0,812,667131,25,10,0,1,1,6449185
33,9524067,6,6,1,892,658800,46,8,1,0,0,11597510
34,4460969,10,6,1,857,1025615,15,10,0,0,0,6852510
35,3742013,6,9,1,724,3597785,48,7,0,0,1,6115940
36,1588407,14,5,1,360,1521318,45,9,1,1,1,12282250
37,4305012,6,9,1,315,3472221,29,5,1,1,0,9501680
38,3331712,12,5,0,897,1390836,19,9,1,1,1,6918575
39,1847081,14,6,1,887,2313166,47,5,1,0,0,11081765
40,4522247,14,4,0,717,680838,41,5,0,0,1,8715835
41,5960675,8,7,1,539,2880034,6,4,1,0,0,6209745
42,1299176,8,8,1,766,384192,44,5,0,0,1,7513160
43,1966367,10,1,0,630,4688233,35,4,1,0,0,12790330
44,6101557,6,5,1,461,2118678,26,3,0,1,0,9855365
45,2904977,13,2,1,729,1696863,3,4,0,1,1,7308760
46,2305446,11,8,1,731,4891736,28,4,0,0,0,6442980
47,3787897,6,2,1,604,4767417,46,7,1,1,0,6421080
48,8259356,9,5,0,828,1218223,23,9,1,0,0,8239510
49,8625130,10,7,1,373,4158830,33,8,0,0,0,10272195
50,3580521,7,6,0,748,3224389,0,2,1,1,0,9627240
51,2826720,11,1,1,504,4433198,22,9,0,1,1,15412125
52,4066258,10,4,0,422,4353082,12,9,1,1,0,10932480
53,8053585,7,9,1,391,3689532,31,2,1,0,1,8655245
54,1294837,9,3,1,547,459557,32,6,1,0,0,12432265
55,2923018,6,5,0,346,3142317,22,10,1,0,0,9448390
56,7231413,13,8,0,499,1197803,8,5,0,0,1,10277670
57,1993279,9,4,1,304,2567418,41,5,0,1,1,9780175
58,9740375,14,8,0,384,1590967,28,3,0,0,1,6826230
59,7572080,8,2,1,801,1194759,32,10,0,0,0,4444970
60,983911,14,2,1,321,2208673,20,4,1,1,0,7362415
61,642439,11,3,0,704,4976044,15,8,1,0,1,9556795
62,8388695,6,8,0,462,1396754,41,4,1,1,1,6818200
63,3513101,6,5,1,493,1059607,10,9,1,0,1,15664340
64,507933,10,6,1,686,3195765,4,8,0,0,0,7251090
65,1521852,9,3,1,556,430030,16,3,1,1,1,5612970
66,4197042,9,4,0,520,2536281,7,3,0,0,0,9351300
67,4594348,7,9,1,468,3159652,2,6,0,0,1,6822580
68,8728659,10,2,0,431,1206797,43,3,1,0,0,8484060
69,1744514,10,9,0,587,4748425,7,8,1,0,1,8692110
70,4132038,8,1,1,514,4104084,2,6,0,0,1,11762855
71,9761799,13,7,0,730,1433057,49,4,0,1,1,7409500
72,6599036,10,9,0,737,1596469,38,4,0,0,1,5523180
73,3428454,12,1,0,785,444945,37,6,0,1,1,10640480
74,3905946,14,8,0,582,1500295,40,4,1,1,0,11316095
75,9933750,12,6,1,524,4432524,1,2,1,0,1,10928830
76,5556247,13,7,0,812,978401,38,7,0,0,0,7951890
77,6902794,10,1,1,316,3210908,36,5,1,1,1,9547305
78,9674727,12,3,0,594,665024,28,9,1,0,0,10524410
79,857763,8,1,0,419,4354285,25,7,1,0,0,12137710
80,3408274,12,5,1,338,3289009,44,9,0,0,0,7265690
81,2213807,14,9,0,467,2884610,30,1,1,1,1,7399280
82,1292234,9,4,0,751,3484077,0,6,0,0,0,10698150
83,1226683,11,9,1,381,2068526,6,9,1,1,0,10841230
84,6287517,11,5,0,496,1658352,14,9,0,1,0,5737435
85,5779635,11,8,0,385,4550499,31,6,1,0,0,11876735
86,1761809,10,3,1,367,2357729,25,2,0,1,1,13104595
87,7152038,6,4,0,374,3166401,12,8,0,0,1,7538710
88,9930946,13,3,1,317,4741864,10,3,1,1,1,9912305
89,6866794,8,5,1,738,4221667,0,6,1,0,1,9214060
90,8034349,13,5,0,803,3589076,43,8,1,1,1,5853140
91,4823574,10,7,0,730,1896974,49,7,1,0,1,15780775
92,1146199,12,4,0,519,3156047,28,7,1,0,0,7176995
93,8574712,12,6,1,372,4430798,24,10,1,0,0,12618050
94,7588239,8,7,1,737,2283194,11,7,1,1,0,13232345
95,4962580,6,7,0,588,3813160,49,3,0,1,1,9607530
96,9680161,7,4,0,592,2449090,47,7,1,0,1,7155460
97,1936752,13,9,0,556,4905621,11,8,0,0,1,9631985
98,1996292,14,9,0,649,2186155,34,6,1,1,0,11097825
99,6942886,12,7,1,625,4968828,17,2,1,0,1,9992240
100,1128439,13,6,0,898,4403025,17,7,0,0,1,6860905
101,9134847,6,1,0,847,1595336,24,6,1,1,0,8331855
102,6962215,8,9,0,424,2756058,4,5,1,0,1,9837845
103,3019913,10,7,1,467,4830815,16,7,1,1,0,6539705
104,5909075,8,1,0,802,1293083,2,7,0,1,1,8058105
105,3152587,11,8,0,696,3759404,16,6,1,0,1,12129680
106,571251,12,4,1,681,4588199,29,9,0,1,0,7843850
107,8062834,10,7,0,329,4170947,20,10,1,1,1,7037930
108,2156140,7,2,1,866,495590,13,7,1,0,0,6077250
109,2903828,12,9,1,764,2688492,21,9,1,1,1,6752500
110,9969383,8,5,1,648,4705042,47,8,1,1,0,8920600
111,6074065,9,7,1,448,3488705,36,8,1,0,1,6369980
112,7642120,10,3,1,563,4154134,25,1,1,1,0,8586625
113,1032530,14,4,0,345,379086,22,1,1,0,1,8608525
114,1492178,8,1,0,872,4342408,24,7,0,1,0,12333350
115,5741632,14,6,0,874,1172462,12,3,1,1,1,8599400
116,744341,13,8,1,352,4110978,4,1,1,1,0,10954380
117,7097157,8,7,0,635,4524985,19,1,0,0,0,9913765
118,7271046,12,4,0,620,4796485,5,4,1,0,0,7710990
119,2716069,13,8,0,406,3238656,9,8,1,1,1,13856495
120,1342547,7,8,1,821,1824095,33,9,0,1,0,8633345
121,4571056,14,3,1,516,3720060,31,7,1,0,0,7351100
122,5681398,14,5,0,384,3816830,21,2,1,0,0,6826960
123,2846894,6,7,1,304,4970033,34,7,1,0,1,8321270
124,9062871,14,1,1,824,3894893,33,6,0,1,0,7566085
125,5393825,6,7,1,800,4073479,14,2,1,1,1,8278200
126,3543629,11,7,1,305,1171871,11,8,0,1,0,5877960
127,4178995,10,1,0,373,2439150,39,3,1,0,0,7855530
128,1713821,10,7,1,496,52405,16,7,1,0,0,12544320
129,1225933,8,9,0,563,4868323,34,6,1,1,0,11501150
130,2273724,11,5,1,727,2731572,39,9,1,0,0,11093810
131,6372538,8,9,0,733,3094824,17,1,0,0,0,6546640
132,6176116,7,2,1,801,2011800,39,9,0,0,0,7871590
133,9092851,6,4,0,842,1920069,6,2,0,1,1,9561905
134,4064505,9,1,1,538,4845003,27,7,1,1,0,10165615
135,5979818,12,2,0,724,2299067,15,6,0,0,1,8499755
136,3548143,13,1,0,402,1675297,49,2,1,0,0,5519530
137,8234959,10,7,1,789,3718148,37,6,1,0,1,7950795
138,4642856,14,8,1,759,194703,33,4,1,0,0,12546510
139,8945436,6,6,1,398,40127,32,10,1,0,0,5947675
140,5694300,13,6,0,428,1681157,13,2,0,1,1,7426290
141,8408941,7,4,1,842,222084,6,2,0,0,0,6914925
142,4057724,9,4,0,876,2715793,17,8,1,0,1,5961545
143,6368497,13,5,1,633,2018491,28,1,1,1,0,8418360
144,3854326,11,6,1,663,150182,7,7,0,0,0,10056480
145,1695513,6,6,1,755,1378372,9,6,0,1,1,9023165
